Selected Geographies,wages,Total_COW,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"Employee of a private for-profit co. or bus., or of an individual, for wages, salary, commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)",State government employee,Federal government employee,"Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm",Working without pay in family business or farm,Unemployed and last worked 5 years ago or earlier or never worked,Total_ES,N/A (less than 16 years old),"Civilian employed, at work","Civilian employed, with a job but not at work",Unemployed,"Armed Forces, At Work","Armed Forces, With a Job But Not At Work",Not in Labor Force,Income-to-poverty ratio recode,GDP_2019_In_Mil,party,TWF,TPWF,TNFWF,WFUE,PEPW,NFPW
Alabama,21148.0,5039877.0,2234827.0,1884768.0,189396.0,183899.0,148712.0,128539.0,160470.0,85255.0,7187.0,16824.0,5039877.0,990807.0,2150115.0,46854.0,123989.0,21574.0,0.0,1706538.0,282.0,228142.6,republican,2342532.0,461150.0,332611.0,0.052929479725357005,0.1968596373496712,0.14198781489431095
Alaska,28281.0,732673.0,278982.0,234329.0,42060.0,41848.0,38742.0,49015.0,32125.0,12050.0,1294.0,2228.0,732673.0,161260.0,319354.0,9876.0,22303.0,22870.0,79.0,196931.0,326.0,54385.6,republican,374482.0,129605.0,80590.0,0.05955693464572396,0.3460914009218067,0.21520393503559584
Arizona,24918.0,7276316.0,3033430.0,2849940.0,304770.0,286882.0,176942.0,144792.0,269954.0,164173.0,12263.0,33170.0,7276316.0,1423395.0,3257799.0,60329.0,201396.0,24818.0,199.0,2308380.0,306.0,370119.1,republican,3544541.0,608616.0,463824.0,0.05681864026964281,0.17170516577463768,0.13085587104225907
Arkansas,20255.0,3025891.0,1353331.0,1091080.0,125418.0,106404.0,106215.0,45041.0,118496.0,60923.0,6456.0,12527.0,3025891.0,622266.0,1302871.0,22445.0,76012.0,6765.0,0.0,995532.0,271.0,130954.1,republican,1408093.0,257660.0,212619.0,0.0539822298669193,0.18298507271891842,0.15099783892115082
California,30891.0,39237836.0,15930802.0,15090262.0,1742614.0,1890743.0,922604.0,628783.0,1870581.0,866672.0,77473.0,217302.0,39237836.0,7730764.0,17680696.0,499903.0,1635683.0,155546.0,1077.0,11534167.0,323.0,3132800.6,democrat,19972905.0,3442130.0,2813347.0,0.08189509738317986,0.1723399775846328,0.14085817761612546
Colorado,32354.0,5812069.0,2060383.0,2410114.0,311834.0,270043.0,133831.0,152580.0,257825.0,190879.0,10175.0,14405.0,5812069.0,1093745.0,2946420.0,53353.0,167047.0,42024.0,328.0,1509152.0,342.0,392986.0,democrat,3209172.0,556454.0,403874.0,0.0520529906156479,0.17339488191969768,0.125849907702049
Connecticut,34710.0,3605597.0,1315526.0,1499450.0,234185.0,167313.0,96365.0,43933.0,151775.0,80267.0,3912.0,12871.0,3605597.0,632266.0,1766422.0,42574.0,133439.0,8539.0,0.0,1022357.0,347.0,287822.2,democrat,1950974.0,307611.0,263678.0,0.06839609343845689,0.1576704763876915,0.13515198049794616
Delaware,25878.0,1003384.0,388154.0,405622.0,55194.0,29033.0,47180.0,20409.0,30153.0,20857.0,1729.0,5053.0,1003384.0,184211.0,459791.0,9934.0,28956.0,4304.0,0.0,316188.0,326.0,77082.4,democrat,502985.0,96622.0,76213.0,0.057568317146634594,0.19209717983637684,0.15152141713967612
District of Columbia,52005.0,670050.0,214490.0,210397.0,86140.0,29051.0,9043.0,78814.0,23476.0,12357.0,1663.0,4619.0,670050.0,115944.0,348501.0,5689.0,32758.0,4548.0,0.0,162610.0,338.0,143389.3,,391496.0,116908.0,38094.0,0.08367390726852893,0.2986186321188467,0.0973036761550565
Florida,23924.0,21781128.0,9155711.0,8452194.0,828797.0,831400.0,371960.0,369870.0,903165.0,750744.0,42189.0,75098.0,21781128.0,3768384.0,9796712.0,200851.0,587297.0,76340.0,132.0,7351412.0,302.0,1106500.1,republican,10661332.0,1573230.0,1203360.0,0.0550866439578094,0.14756411300201513,0.11287144983384816
