Source: ACS 1-Year Estimates Public Use Microdata Sample 2021
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Class of worker (COW)","","","","","","","","","",""
"Selected Geographies","Total","N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","Employee of a private for-profit co. or bus., or of an individual, for wages, salary, commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)","State government employee","Federal government employee","Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm","Working without pay in family business or farm","Unemployed and last worked 5 years ago or earlier or never worked"
" -> Total","331893745","132434936","130794658","17007276","14670562","8111808","6665741","12920779","7430114","628828","1229043"
"Alabama","5039877","2234827","1884768","189396","183899","148712","128539","160470","85255","7187","16824"
"Alaska","732673","278982","234329","42060","41848","38742","49015","32125","12050","1294","2228"
"Arizona","7276316","3033430","2849940","304770","286882","176942","144792","269954","164173","12263","33170"
"Arkansas","3025891","1353331","1091080","125418","106404","106215","45041","118496","60923","6456","12527"
"California","39237836","15930802","15090262","1742614","1890743","922604","628783","1870581","866672","77473","217302"
"Colorado","5812069","2060383","2410114","311834","270043","133831","152580","257825","190879","10175","14405"
"Connecticut","3605597","1315526","1499450","234185","167313","96365","43933","151775","80267","3912","12871"
"Delaware","1003384","388154","405622","55194","29033","47180","20409","30153","20857","1729","5053"
"District of Columbia","670050","214490","210397","86140","29051","9043","78814","23476","12357","1663","4619"
"Florida","21781128","9155711","8452194","828797","831400","371960","369870","903165","750744","42189","75098"
"Georgia","10799566","4404879","4315078","410530","457356","242664","251684","391771","267789","19008","38807"
"Hawaii","1441553","554362","478731","81448","40522","78686","100932","63662","33374","2962","6874"
"Idaho","1900923","755953","728497","77068","79576","58542","40030","97962","54648","5607","3040"
"Illinois","12671469","4987566","5164342","731506","584309","255997","166073","396021","294944","24303","66408"
"Indiana","6805985","2709040","2852194","409799","273157","121872","82689","199309","129659","11819","16447"
"Iowa","3193079","1186953","1314232","175309","157514","90976","44886","135816","74852","5544","6997"
"Kansas","2934582","1116802","1151928","153490","157508","93605","71111","114393","64502","4658","6585"
"Kentucky","4509394","1923125","1743641","217560","163418","127238","75996","153996","80289","8841","15290"
"Louisiana","4624047","2076349","1674224","187732","186725","127967","83442","162942","92146","8677","23843"
"Maine","1372247","498185","515719","110969","66633","32960","25990","79850","35920","2642","3379"
"Maryland","6165129","2306479","2230522","375169","280694","170155","403541","217118","147303","11873","22275"
"Massachusetts","6984723","2445783","2903341","605388","333128","164859","80955","280555","134890","10487","25337"
"Michigan","10050811","4021467","4161599","571275","363599","202581","105726","372573","199984","18307","33700"
"Minnesota","5707390","2032318","2393706","449748","272953","123441","63658","213275","135975","9204","13112"
"Mississippi","2949965","1356139","1038168","95516","99423","122254","69076","98828","53501","5242","11818"
"Missouri","6168187","2460903","2458667","382480","242298","139324","115657","222163","117625","15795","13275"
"Montana","1104271","426554","370317","68562","58276","35723","31372","66758","41459","3530","1720"
"Nebraska","1963692","720459","780560","118480","109385","53444","39196","81370","51660","4142","4996"
"Nevada","3143991","1265595","1339145","88991","124075","62543","67230","110624","66971","4118","14699"
"New Hampshire","1388992","473429","604957","100903","61763","30636","28666","57912","25724","3896","1106"
"New Jersey","9267130","3547637","3862354","443178","485679","236587","115470","305691","218830","14535","37169"
"New Mexico","2115877","933465","685584","87241","99565","86234","90027","86408","36082","5101","6170"
"New York","19835913","7833398","7339524","1400682","1179727","490687","259665","734931","462368","36113","98818"
"North Carolina","10551162","4252010","4165033","453463","396282","317847","264303","412922","232121","18687","38494"
"North Dakota","774948","273150","282862","55388","43886","28504","28352","43013","18443","1016","334"
"Ohio","11780017","4634527","4937183","673551","527549","203323","158173","388886","203514","19641","33670"
"Oklahoma","3986639","1697341","1476169","149614","151176","123844","131948","157672","79485","8400","10990"
"Oregon","4246155","1630687","1668236","242476","169245","144724","58892","205114","106592","9579","10610"
"Pennsylvania","12964056","5025358","5330053","960084","492572","236212","181730","421530","245856","25448","45213"
"Rhode Island","1095610","392036","458027","87375","39303","29402","22505","38686","22270","2581","3425"
"South Carolina","5190705","2193812","1996645","202853","198605","163664","121211","187526","101524","8594","16271"
"South Dakota","895376","339043","329065","58838","45177","25433","22131","47576","24489","1703","1921"
"Tennessee","6975218","2841749","2774054","318659","296551","150168","121041","306003","118475","13743","34775"
"Texas","29527941","12197564","11836262","1020018","1288393","680225","536326","1238274","572227","60065","98587"
"Utah","3337975","1323738","1357366","136890","141857","96162","69258","107670","93452","4917","6665"
"Vermont","645570","224358","238763","64197","32000","20234","11048","36017","16818","1778","357"
"Virginia","8642274","3273694","3235871","453484","411160","214128","539332","290968","186550","16543","20544"
"Washington","7738692","2927784","3090186","410623","338100","249578","205912","298576","180153","13983","23797"
"West Virginia","1782959","819572","615417","79278","70244","73314","37513","49607","27987","3051","6976"
"Wisconsin","5895908","2170215","2552731","353280","276493","128638","65686","203415","118912","16822","9716"
"Wyoming","578803","215822","215549","23773","38070","25839","15532","25376","16574","1532","736"
