Selected Geographies,Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars),Total_COW,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"Employee of a private for-profit co. or bus., or of an individual, for wages, salary, commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)",State government employee,Federal government employee,"Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm",Working without pay in family business or farm,Unemployed and last worked 5 years ago or earlier or never worked,Total_ES,N/A (less than 16 years old),"Civilian employed, at work","Civilian employed, with a job but not at work",Unemployed,"Armed Forces, At Work","Armed Forces, With a Job But Not At Work",Not in Labor Force,Income-to-poverty ratio recode
Alabama,21148,5039877,2234827,1884768,189396,183899,148712,128539,160470,85255,7187,16824,5039877,990807,2150115,46854,123989,21574,0,1706538,282
Alaska,28281,732673,278982,234329,42060,41848,38742,49015,32125,12050,1294,2228,732673,161260,319354,9876,22303,22870,79,196931,326
Arizona,24918,7276316,3033430,2849940,304770,286882,176942,144792,269954,164173,12263,33170,7276316,1423395,3257799,60329,201396,24818,199,2308380,306
Arkansas,20255,3025891,1353331,1091080,125418,106404,106215,45041,118496,60923,6456,12527,3025891,622266,1302871,22445,76012,6765,0,995532,271
California,30891,39237836,15930802,15090262,1742614,1890743,922604,628783,1870581,866672,77473,217302,39237836,7730764,17680696,499903,1635683,155546,1077,11534167,323
Colorado,32354,5812069,2060383,2410114,311834,270043,133831,152580,257825,190879,10175,14405,5812069,1093745,2946420,53353,167047,42024,328,1509152,342
Connecticut,34710,3605597,1315526,1499450,234185,167313,96365,43933,151775,80267,3912,12871,3605597,632266,1766422,42574,133439,8539,0,1022357,347
Delaware,25878,1003384,388154,405622,55194,29033,47180,20409,30153,20857,1729,5053,1003384,184211,459791,9934,28956,4304,0,316188,326
District of Columbia,52005,670050,214490,210397,86140,29051,9043,78814,23476,12357,1663,4619,670050,115944,348501,5689,32758,4548,0,162610,338
Florida,23924,21781128,9155711,8452194,828797,831400,371960,369870,903165,750744,42189,75098,21781128,3768384,9796712,200851,587297,76340,132,7351412,302
Georgia,25668,10799566,4404879,4315078,410530,457356,242664,251684,391771,267789,19008,38807,10799566,2222499,4913924,119190,297961,65335,1481,3179176,302
Hawaii,25405,1441553,554362,478731,81448,40522,78686,100932,63662,33374,2962,6874,1441553,274827,620317,16383,54768,48029,169,427060,336
Idaho,22651,1900923,755953,728497,77068,79576,58542,40030,97962,54648,5607,3040,1900923,414726,886943,18329,31055,4095,171,545604,304
Illinois,29298,12671469,4987566,5164342,731506,584309,255997,166073,396021,294944,24303,66408,12671469,2463257,5955966,124510,479879,21165,881,3625811,323
Indiana,24292,6805985,2709040,2852194,409799,273157,121872,82689,199309,129659,11819,16447,6805985,1405611,3177494,68486,165049,6589,0,1982756,301
Iowa,24962,3193079,1186953,1314232,175309,157514,90976,44886,135816,74852,5544,6997,3193079,648088,1586140,34771,59316,6459,0,858305,315
Kansas,24890,2934582,1116802,1151928,153490,157508,93605,71111,114393,64502,4658,6585,2934582,616494,1407405,25984,60232,16154,13,808300,307
Kentucky,21047,4509394,1923125,1743641,217560,163418,127238,75996,153996,80289,8841,15290,4509394,894490,1949220,45620,121000,18900,90,1480074,281
Louisiana,21173,4624047,2076349,1674224,187732,186725,127967,83442,162942,92146,8677,23843,4624047,958836,1906896,41708,164874,23377,75,1528281,273
Maine,25165,1372247,498185,515719,110969,66633,32960,25990,79850,35920,2642,3379,1372247,213831,660701,14447,36529,1040,0,445699,318
Maryland,34703,6165129,2306479,2230522,375169,280694,170155,403541,217118,147303,11873,22275,6165129,1199093,3020739,56072,193707,40228,75,1655215,352
Massachusetts,37293,6984723,2445783,2903341,605388,333128,164859,80955,280555,134890,10487,25337,6984723,1195509,3520025,84170,258045,5922,0,1921052,352
