Source: ACS 1-Year Estimates Public Use Microdata Sample 2021
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies","Income-to-poverty ratio recode"
"Alabama","282"
"Alaska","326"
"Arizona","306"
"Arkansas","271"
"California","323"
"Colorado","342"
"Connecticut","347"
"Delaware","326"
"District of Columbia","338"
"Florida","302"
"Georgia","302"
"Hawaii","336"
"Idaho","304"
"Illinois","323"
"Indiana","301"
"Iowa","315"
"Kansas","307"
"Kentucky","281"
"Louisiana","273"
"Maine","318"
"Maryland","352"
"Massachusetts","352"
"Michigan","308"
"Minnesota","345"
"Mississippi","261"
"Missouri","304"
"Montana","308"
"Nebraska","319"
"Nevada","298"
"New Hampshire","362"
"New Jersey","353"
"New Mexico","272"
"New York","321"
"North Carolina","301"
"North Dakota","323"
"Ohio","307"
"Oklahoma","281"
"Oregon","318"
"Pennsylvania","320"
"Rhode Island","326"
"South Carolina","292"
"South Dakota","306"
"Tennessee","294"
"Texas","299"
"Utah","325"
"Vermont","325"
"Virginia","339"
"Washington","343"
"West Virginia","278"
"Wisconsin","323"
"Wyoming","309"
