Selected Geographies,Total,N/A (less than 16 years old),"Civilian employed, at work","Civilian employed, with a job but not at work",Unemployed,"Armed Forces, At Work","Armed Forces, With a Job But Not At Work",Not in Labor Force
Alabama,5039877,990807,2150115,46854,123989,21574,0,1706538
Alaska,732673,161260,319354,9876,22303,22870,79,196931
Arizona,7276316,1423395,3257799,60329,201396,24818,199,2308380
Arkansas,3025891,622266,1302871,22445,76012,6765,0,995532
California,39237836,7730764,17680696,499903,1635683,155546,1077,11534167
Colorado,5812069,1093745,2946420,53353,167047,42024,328,1509152
Connecticut,3605597,632266,1766422,42574,133439,8539,0,1022357
Delaware,1003384,184211,459791,9934,28956,4304,0,316188
District of Columbia,670050,115944,348501,5689,32758,4548,0,162610
Florida,21781128,3768384,9796712,200851,587297,76340,132,7351412
Georgia,10799566,2222499,4913924,119190,297961,65335,1481,3179176
Hawaii,1441553,274827,620317,16383,54768,48029,169,427060
Idaho,1900923,414726,886943,18329,31055,4095,171,545604
Illinois,12671469,2463257,5955966,124510,479879,21165,881,3625811
Indiana,6805985,1405611,3177494,68486,165049,6589,0,1982756
Iowa,3193079,648088,1586140,34771,59316,6459,0,858305
Kansas,2934582,616494,1407405,25984,60232,16154,13,808300
Kentucky,4509394,894490,1949220,45620,121000,18900,90,1480074
Louisiana,4624047,958836,1906896,41708,164874,23377,75,1528281
Maine,1372247,213831,660701,14447,36529,1040,0,445699
Maryland,6165129,1199093,3020739,56072,193707,40228,75,1655215
Massachusetts,6984723,1195509,3520025,84170,258045,5922,0,1921052
Michigan,10050811,1888079,4510830,95945,337425,5164,0,3213368
Minnesota,5707390,1151242,2916501,50704,154833,3825,0,1430285
Mississippi,2949965,607371,1199499,26208,84197,14351,194,1018145
Missouri,6168187,1218279,2901068,51941,146243,26401,0,1824255
Montana,1104271,208016,516637,8720,23729,5926,0,341243
Nebraska,1963692,429353,1006248,15450,29108,7047,0,476486
Nevada,3143991,618629,1392179,32875,152877,13939,0,933492
New Hampshire,1388992,225251,726567,15537,29339,2324,0,389974
New Jersey,9267130,1777509,4401571,107764,393585,11463,0,2575238
New Mexico,2115877,419658,860208,15285,75247,14280,71,731128
New York,19835913,3625034,9002314,235510,889031,28961,590,6054473
North Carolina,10551162,2024505,4779025,114559,296776,110881,295,3225121
North Dakota,774948,163734,392912,6092,9955,11358,282,190615
Ohio,11780017,2294725,5495239,119765,322547,11536,574,3535631
Oklahoma,3986639,840107,1745190,31891,114409,26665,133,1228244
Oregon,4246155,757899,1962330,41435,138015,4471,0,1342005
Pennsylvania,12964056,2363141,6094549,111870,420158,7479,0,3966859
Rhode Island,1095610,182089,531852,16268,46025,3176,120,316080
South Carolina,5190705,982401,2283244,48793,137973,33523,24,1704747
South Dakota,895376,191265,444261,6091,12537,4640,0,236582
Tennessee,6975218,1358002,3181638,64104,179984,17718,0,2173772
Texas,29527941,6592441,13514416,278154,907252,115876,2484,8117318
Utah,3337975,831328,1627020,28379,59447,7800,0,784001
Vermont,645570,102716,317132,7190,13669,1983,0,202880
Virginia,8642274,1660200,4131202,76838,209573,133133,1397,2429931
Washington,7738692,1484267,3608001,88211,236736,63220,632,2257625
West Virginia,1782959,313625,710024,15006,47308,2320,0,694676
Wisconsin,5895908,1122147,2952480,48122,105212,3332,0,1664615
Wyoming,578803,117432,279012,6249,10752,2509,0,162849
